"Name","Ally Code","Overall % Ready","Geonosian Brood Alpha","Poggle the Lesser","Geonosian Spy","Geonosian Soldier","Sun Fac"
"CyberPycu4","485945662",100,"R5","G12","R2","G12","G12"
"Elias Lund","315647656",100,"G12","G12","G12","G12","G12"
"Evermoon","148264149",100,"R3","G12","R3","G12","G12"
"Gooseberry","897934762",100,"G12","G12","G12","G12","G12"
"Graff Suvoroff","656928868",100,"R3","G12","G12","G12","G12"
"Grafsuvoroff","416392519",100,"R3","G12","R2","G12","G12"
"Griny","466978433",100,"R8","R7","R7","R7","R7"
"iA1bo","423316393",100,"G12","G12","G12","G12","G12"
"IIJIOTBA","768781456",100,"R3","G12","R3","G12","G12"
"Ikar","211342845",100,"G12","G12","G12","G12","G12"
"Inasanitycheck","116797347",100,"G12","G12","G12","G12","G12"
"Kruineph Pennington","369437198",100,"R4","G12","G12","G12","G12"
"Lelik749","553651963",100,"R7","R5","R5","R5","R5"
"Malefick93","988811244",100,"R4","R3","R3","R3","R3"
"Malek Kirzjech","818752425",100,"G12","G12","G12","G12","G12"
"nubowski","921868851",100,"G12","G12","G12","G12","G12"
"RM BDSM","544121768",100,"R3","R3","R3","R3","R3"
"Ronin","971984675",100,"G12","G12","G12","G12","G12"
"Rouby3","222887156",100,"R5","G12","G12","G12","G12"
"Samsww1989","889558745",100,"R7","R4","R5","R5","R5"
"ScOrPiOnChIk","337542612",100,"R3","R1","R4","G12","R1"
"sergon","463627759",100,"R5","G12","R3","R3","R3"
"Shurshun1991","695911915",100,"R5","G12","G12","G12","G12"
"SKYRIM1122","564158135",100,"R4","G12","G12","G12","G12"
"Spermamasivegames","664371154",100,"G12","G12","G12","G12","G12"
"Tsar' Leonid","733825311",100,"G12","G12","G12","G12","G12"
"vikkk555","528142143",100,"G12","G12","G12","G12","G12"
"Yauhen","968173541",100,"R4","G12","R4","G12","G12"
"Yellow089","862927424",100,"R4","R3","R3","R3","R3"
"Zlobnyj inzheneR","871648239",100,"G12","G12","G12","G12","G12"
"ZolFo","567186359",100,"R5","G12","R5","G12","G12"
"Zundan","198138744",100,"R5","G12","R5","G12","G12"
"ΝUΔR","163339916",100,"G12","G12","G12","G12","G12"
"Арбалет","646293539",100,"G12","G12","G12","G12","G12"
"Диарам","426897598",100,"R5","G12","R4","R3","R3"
"ЖᛋᛒᛟᚢⰓᛆᚹᛕᚣ","646148731",100,"R5","R3","R5","R3","R3"
"Канистра Йода","868285552",100,"G12","G12","G12","G12","G12"
"Нервный Кобр","538514232",100,"G12","G12","G12","G12","G12"
"Родан","451131624",100,"R6","R4","R5","R4","R4"
"Стройбатя","872433336",100,"R4","G12","R2","R2","G12"
"Шаман","349927822",100,"G12","G12","G12","G12","G12"
"Amir","849418263",99.16666666666666,"G12","G12","G12","G12","G11"
"Ariana Mecceti","695254475",99.16666666666666,"G12","G12","G12","G12","G11"
"Immortal911","155172861",99.16666666666666,"G12","G12","G12","G12","G11"
"Shabbat","851992162",99.16666666666666,"G12","G12","G12","G11","G12"
"Fox","916495986",98.33333333333334,"R5","G12","G10","R2","R2"
"Stiles Stilinski","111878226",98.33333333333333,"G11","G11","G12","G12","G12"
"Skywaker","932532977",92.49999999999999,"G11","G11","G10","G11","G8"
"Shuraby","356145927",90.23809523809523,"6*","G10","G9","G12","G8"
"aleksandrovn","186726622",85.11904761904762,"6*","G11","5*","6*","G9"